"","Observation Number","Cluster_Membership"
"346",346,9
"347",347,9
"348",348,9
"349",349,5
"350",350,5
"351",351,4
"352",352,9
"353",353,2
"354",354,9
"355",355,7
"356",356,8
"357",357,9
"358",358,9
"359",359,9
"360",360,9
"361",361,9
"362",362,9
"363",363,6
"364",364,5
"365",365,6
"366",366,6
"367",367,6
"368",368,6
"369",369,6
"370",370,6
"371",371,6
"372",372,6
"373",373,6
"374",374,4
"375",375,3
"376",376,2
"377",377,3
"378",378,4
"379",379,6
"380",380,6
"381",381,3
"382",382,6
"383",383,6
"384",384,6
"385",385,6
"386",386,6
"387",387,6
"388",388,5
"389",389,5
"390",390,5
"391",391,5
"392",392,5
"393",393,5
"394",394,5
"395",395,5
"396",396,5
"397",397,2
"398",398,2
"399",399,5
"400",400,5
"401",401,5
"402",402,5
"403",403,5
"404",404,5
"405",405,5
"406",406,8
"407",407,8
"408",408,8
"409",409,8
"410",410,8
"411",411,8
"412",412,8
"413",413,8
"414",414,8
"415",415,2
"416",416,8
"417",417,8
"418",418,8
"419",419,8
"420",420,8
"421",421,8
"422",422,8
"423",423,8
"424",424,6
"425",425,6
"426",426,6
"427",427,6
"428",428,6
"429",429,6
"430",430,6
"431",431,6
"432",432,5
"433",433,9
"434",434,6
"435",435,6
"436",436,6
"437",437,6
"438",438,6
"439",439,4
"440",440,7
"441",441,7
"442",442,7
"443",443,7
"444",444,7
"445",445,7
"446",446,7
"447",447,7
"448",448,7
"449",449,8
"450",450,2
"451",451,7
"452",452,7
"453",453,7
"454",454,7
"455",455,7
"456",456,7
"457",457,7
"458",458,6
"459",459,4
"460",460,4
"461",461,4
"462",462,4
"463",463,4
"464",464,4
"465",465,4
"466",466,4
"467",467,4
"468",468,4
"469",469,6
"470",470,9
"471",471,4
"472",472,4
"473",473,4
"474",474,4
"475",475,4
"476",476,4
"477",477,4
"478",478,6
"479",479,6
"480",480,6
"481",481,6
"482",482,6
"483",483,6
"484",484,6
"485",485,6
"486",486,6
"487",487,4
"488",488,4
"489",489,6
"490",490,6
"491",491,6
"492",492,6
"493",493,6
"494",494,6
"495",495,6
"496",496,6
"497",497,6
"498",498,6
"499",499,6
"500",500,6
"501",501,6
"502",502,6
"503",503,6
"504",504,6
"505",505,3
"506",506,4
"507",507,6
"508",508,6
"509",509,6
"510",510,6
"511",511,6
"512",512,6
"513",513,6
"514",514,6
"515",515,6
"516",516,6
"517",517,6
"518",518,6
"519",519,6
"520",520,6
"521",521,6
"522",522,6
"523",523,6
"524",524,9
"525",525,6
"526",526,6
"527",527,6
"528",528,6
"529",529,6
"530",530,6
"531",531,6
"532",532,8
"533",533,8
"534",534,8
"535",535,8
"536",536,8
"537",537,8
"538",538,8
"539",539,8
"540",540,3
"541",541,1
"542",542,8
"543",543,8
"544",544,8
"545",545,8
"546",546,8
"547",547,8
"548",548,4
"549",549,4
"550",550,4
"551",551,4
"552",552,4
"553",553,4
"554",554,4
"555",555,4
"556",556,4
"557",557,4
"558",558,1
"559",559,4
"560",560,4
"561",561,4
"562",562,4
"563",563,4
"564",564,4
"565",565,4
"566",566,9
"567",567,9
"568",568,9
"569",569,9
"570",570,9
"571",571,9
"572",572,9
"573",573,9
"574",574,9
"575",575,1
"576",576,1
"577",577,9
"578",578,9
"579",579,9
"580",580,9
"581",581,9
"582",582,9
"583",583,9
"584",584,8
"585",585,8
"586",586,8
"587",587,8
"588",588,8
"589",589,8
"590",590,8
"591",591,8
"592",592,8
"593",593,3
"594",594,5
"595",595,8
"596",596,8
"597",597,8
"598",598,8
"599",599,8
"600",600,8
"601",601,8
"602",602,2
"603",603,2
"604",604,2
"605",605,2
"606",606,2
"607",607,2
"608",608,2
"609",609,2
"610",610,2
"611",611,2
"612",612,2
"613",613,2
"614",614,1
"615",615,2
"616",616,2
"617",617,2
"618",618,5
"619",619,5
"620",620,5
"621",621,5
"622",622,5
"623",623,5
"624",624,5
"625",625,5
"626",626,5
"627",627,5
"628",628,5
"629",629,5
"630",630,5
"631",631,5
"632",632,5
"633",633,5
"634",634,5
"635",635,5
"636",636,5
"637",637,5
"638",638,5
"639",639,5
"640",640,5
"641",641,5
"642",642,5
"643",643,5
"644",644,5
"645",645,5
"646",646,5
"647",647,5
"648",648,5
"649",649,5
"650",650,5
"651",651,5
"652",652,5
"653",653,5
"654",654,5
"655",655,1
"656",656,5
"657",657,5
"658",658,5
"659",659,5
"660",660,5
"661",661,5
"662",662,5
"663",663,1
"664",664,5
"665",665,5
"666",666,2
"667",667,4
"668",668,2
"669",669,2
"670",670,2
"671",671,2
"672",672,2
"673",673,2
"674",674,2
"675",675,2
"676",676,2
"677",677,2
"678",678,2
"679",679,2
"680",680,2
"681",681,2
"682",682,2
"683",683,2
"684",684,7
"685",685,7
"686",686,7
"687",687,7
"688",688,7
"689",689,7
"690",690,7
"691",691,7
"692",692,7
"693",693,7
"694",694,7
"695",695,7
"696",696,7
"697",697,7
"698",698,7
"699",699,7
"700",700,6
"701",701,6
"702",702,6
"703",703,6
"704",704,6
"705",705,6
"706",706,6
"707",707,6
"708",708,6
"709",709,6
"710",710,6
"711",711,6
"712",712,6
"713",713,6
"714",714,6
"715",715,6
"716",716,6
"717",717,6
"718",718,6
"719",719,6
"720",720,6
"721",721,6
"722",722,6
"723",723,6
"724",724,6
"725",725,6
"726",726,6
"727",727,6
"728",728,6
"729",729,6
"730",730,6
"731",731,6
"732",732,6
"733",733,6
"734",734,6
"735",735,6
"736",736,6
"737",737,6
"738",738,6
"739",739,6
"740",740,6
"741",741,6
"742",742,6
"743",743,6
"744",744,6
"745",745,6
"746",746,6
"747",747,6
"748",748,6
"749",749,6
"750",750,6
"751",751,6
"752",752,6
"753",753,6
"754",754,6
"755",755,6
"756",756,6
"757",757,6
"758",758,6
"759",759,6
"760",760,6
"761",761,6
"762",762,6
"763",763,6
"764",764,4
"765",765,4
"766",766,4
"767",767,4
"768",768,4
"769",769,4
"770",770,4
"771",771,4
"772",772,4
"773",773,4
"774",774,4
"775",775,4
"776",776,4
"777",777,4
"778",778,4
"779",779,4
"780",780,4
"781",781,2
"782",782,1
"783",783,1
"784",784,1
"785",785,1
"786",786,1
"787",787,1
"788",788,1
"789",789,1
"790",790,1
"791",791,1
"792",792,1
"793",793,1
"794",794,1
"795",795,1
"796",796,1
"797",797,1
"798",798,5
"799",799,5
"800",800,5
"801",801,5
"802",802,5
"803",803,5
"804",804,5
"805",805,5
"806",806,5
"807",807,5
"808",808,5
"809",809,5
"810",810,5
"811",811,5
"812",812,5
"813",813,5
"814",814,1
"815",815,1
"816",816,1
"817",817,1
"818",818,1
"819",819,1
"820",820,1
"821",821,1
"822",822,1
"823",823,1
"824",824,1
"825",825,1
"826",826,1
"827",827,1
"828",828,1
"829",829,1
"830",830,6
"831",831,6
"832",832,6
"833",833,6
"834",834,1
"835",835,6
"836",836,6
"837",837,6
"838",838,6
"839",839,6
"840",840,6
"841",841,6
"842",842,1
"843",843,6
"844",844,6
"845",845,6
"846",846,4
"847",847,4
"848",848,4
"849",849,4
"850",850,4
"851",851,4
"852",852,4
"853",853,4
"854",854,4
"855",855,4
"856",856,4
"857",857,4
"858",858,4
"859",859,4
"860",860,4
"861",861,4
"862",862,3
"863",863,3
"864",864,3
"865",865,3
"866",866,3
"867",867,3
"868",868,3
"869",869,3
"870",870,3
"871",871,3
"872",872,1
"873",873,1
"874",874,1
"875",875,1
"876",876,1
"877",877,1
"878",878,1
"879",879,3
"880",880,3
"881",881,7
"882",882,3
"883",883,3
"884",884,3
"885",885,4
"886",886,4
"887",887,4
"888",888,4
"889",889,4
"890",890,4
"891",891,4
"892",892,4
"893",893,4
"894",894,4
"895",895,4
"896",896,4
"897",897,4
"898",898,4
"899",899,4
"900",900,4
"901",901,4
"902",902,4
"903",903,4
"904",904,7
"905",905,4
"906",906,4
"907",907,4
"908",908,4
"909",909,4
"910",910,4
"911",911,4
"912",912,7
"913",913,4
"914",914,4
"915",915,4
"916",916,4
"917",917,4
"918",918,4
"919",919,4
"920",920,4
"921",921,4
"922",922,4
"923",923,4
"924",924,4
"925",925,4
"926",926,4
"927",927,4
"928",928,4
"929",929,4
"930",930,4
"931",931,4
"932",932,4
"933",933,7
"934",934,7
"935",935,7
"936",936,7
"937",937,7
"938",938,7
"939",939,7
"940",940,7
"941",941,7
"942",942,7
"943",943,7
"944",944,7
"945",945,7
"946",946,7
"947",947,1
"948",948,7
"949",949,2
"950",950,2
"951",951,2
"952",952,2
"953",953,2
"954",954,2
"955",955,2
"956",956,2
"957",957,2
"958",958,2
"959",959,2
"960",960,2
"961",961,2
"962",962,2
"963",963,2
"964",964,2
"965",965,1
"966",966,1
"967",967,1
"968",968,1
"969",969,1
"970",970,5
"971",971,1
"972",972,1
"973",973,1
"974",974,1
"975",975,1
"976",976,1
"977",977,1
"978",978,5
"979",979,1
"980",980,1
"981",981,4
"982",982,4
"983",983,4
"984",984,4
"985",985,4
"986",986,4
"987",987,4
"988",988,4
"989",989,4
"990",990,4
"991",991,4
"992",992,4
"993",993,6
"994",994,4
"995",995,4
"996",996,4
"997",997,1
"998",998,1
"999",999,1
"1000",1000,1
"1001",1001,1
"1002",1002,1
"1003",1003,1
"1004",1004,1
"1005",1005,1
"1006",1006,1
"1007",1007,1
"1008",1008,1
"1009",1009,1
"1010",1010,1
"1011",1011,1
"1012",1012,1
"1013",1013,4
"1014",1014,4
"1015",1015,4
"1016",1016,4
"1017",1017,4
"1018",1018,7
"1019",1019,4
"1020",1020,4
"1021",1021,4
"1022",1022,4
"1023",1023,4
"1024",1024,4
"1025",1025,4
"1026",1026,7
"1027",1027,4
"1028",1028,4
"1029",1029,9
"1030",1030,9
"1031",1031,9
"1032",1032,9
"1033",1033,9
"1034",1034,9
"1035",1035,9
"1036",1036,9
"1037",1037,9
"1038",1038,9
"1039",1039,9
"1040",1040,9
"1041",1041,9
"1042",1042,9
"1043",1043,9
"1044",1044,9
"1045",1045,4
"1046",1046,4
"1047",1047,4
"1048",1048,4
"1049",1049,4
"1050",1050,4
"1051",1051,4
"1052",1052,4
"1053",1053,4
"1054",1054,4
"1055",1055,4
"1056",1056,4
"1057",1057,4
"1058",1058,4
"1059",1059,4
"1060",1060,2
"1061",1061,4
"1062",1062,9
"1063",1063,1
"1064",1064,1
"1065",1065,1
"1066",1066,1
"1067",1067,1
"1068",1068,1
"1069",1069,1
"1070",1070,8
"1071",1071,1
"1072",1072,1
"1073",1073,1
"1074",1074,1
"1075",1075,1
"1076",1076,1
"1077",1077,1
"1078",1078,8
"1079",1079,4
"1080",1080,4
"1081",1081,4
"1082",1082,4
"1083",1083,4
"1084",1084,4
"1085",1085,4
"1086",1086,4
"1087",1087,4
"1088",1088,4
"1089",1089,4
"1090",1090,4
"1091",1091,4
"1092",1092,4
"1093",1093,4
"1094",1094,4
"1095",1095,7
"1096",1096,7
"1097",1097,7
"1098",1098,7
"1099",1099,7
"1100",1100,7
"1101",1101,7
"1102",1102,7
"1103",1103,7
"1104",1104,7
"1105",1105,7
"1106",1106,7
"1107",1107,7
"1108",1108,7
"1109",1109,7
"1110",1110,7
"1111",1111,4
"1112",1112,4
"1113",1113,4
"1114",1114,4
"1115",1115,4
"1116",1116,4
"1117",1117,4
"1118",1118,4
"1119",1119,4
"1120",1120,4
"1121",1121,4
"1122",1122,4
"1123",1123,4
"1124",1124,4
"1125",1125,4
"1126",1126,4
"1127",1127,9
"1128",1128,9
"1129",1129,9
"1130",1130,9
"1131",1131,9
"1132",1132,9
"1133",1133,9
"1134",1134,9
"1135",1135,9
"1136",1136,9
"1137",1137,9
"1138",1138,9
"1139",1139,9
"1140",1140,9
"1141",1141,4
"1142",1142,9
"1143",1143,3
"1144",1144,3
"1145",1145,3
"1146",1146,3
"1147",1147,3
"1148",1148,3
"1149",1149,3
"1150",1150,3
"1151",1151,3
"1152",1152,3
"1153",1153,3
"1154",1154,3
"1155",1155,3
"1156",1156,3
"1157",1157,3
"1158",1158,3
"1159",1159,8
"1160",1160,8
"1161",1161,8
"1162",1162,8
"1163",1163,8
"1164",1164,8
"1165",1165,8
"1166",1166,6
"1167",1167,8
"1168",1168,8
"1169",1169,8
"1170",1170,8
"1171",1171,8
"1172",1172,8
"1173",1173,8
"1174",1174,6
"1175",1175,3
"1176",1176,3
"1177",1177,3
"1178",1178,3
"1179",1179,3
"1180",1180,3
"1181",1181,3
"1182",1182,3
"1183",1183,3
"1184",1184,3
"1185",1185,3
"1186",1186,3
"1187",1187,3
"1188",1188,3
"1189",1189,3
"1190",1190,3
"1191",1191,2
"1192",1192,2
"1193",1193,2
"1194",1194,2
"1195",1195,2
"1196",1196,2
"1197",1197,4
"1198",1198,2
"1199",1199,2
"1200",1200,6
"1201",1201,2
"1202",1202,2
"1203",1203,2
"1204",1204,2
"1205",1205,2
"1206",1206,2
"1207",1207,4
"1208",1208,2
"1209",1209,2
"1210",1210,6
"1211",1211,2
"1212",1212,5
"1213",1213,5
"1214",1214,5
"1215",1215,5
"1216",1216,5
"1217",1217,5
"1218",1218,5
"1219",1219,5
"1220",1220,5
"1221",1221,5
"1222",1222,5
"1223",1223,5
"1224",1224,5
"1225",1225,2
"1226",1226,2
"1227",1227,2
"1228",1228,2
"1229",1229,2
"1230",1230,2
"1231",1231,2
"1232",1232,8
"1233",1233,2
"1234",1234,2
"1235",1235,2
"1236",1236,2
"1237",1237,2
"1238",1238,2
"1239",1239,8
"1240",1240,6
"1241",1241,6
"1242",1242,6
"1243",1243,6
"1244",1244,6
"1245",1245,6
"1246",1246,6
"1247",1247,6
"1248",1248,6
"1249",1249,6
"1250",1250,6
"1251",1251,6
"1252",1252,6
"1253",1253,6
"1254",1254,6
"1255",1255,7
"1256",1256,7
"1257",1257,7
"1258",1258,7
"1259",1259,7
"1260",1260,7
"1261",1261,7
"1262",1262,7
"1263",1263,7
"1264",1264,7
"1265",1265,5
"1266",1266,7
"1267",1267,7
"1268",1268,7
"1269",1269,7
"1270",1270,2
"1271",1271,2
"1272",1272,2
"1273",1273,2
"1274",1274,2
"1275",1275,2
"1276",1276,2
"1277",1277,6
"1278",1278,2
"1279",1279,2
"1280",1280,2
"1281",1281,2
"1282",1282,2
"1283",1283,2
"1284",1284,6
"1285",1285,7
"1286",1286,7
"1287",1287,7
"1288",1288,7
"1289",1289,7
"1290",1290,7
"1291",1291,7
"1292",1292,7
"1293",1293,7
"1294",1294,7
"1295",1295,7
"1296",1296,7
"1297",1297,7
"1298",1298,7
"1299",1299,7
"1300",1300,7
"1301",1301,7
"1302",1302,7
"1303",1303,7
"1304",1304,7
"1305",1305,7
"1306",1306,7
"1307",1307,7
"1308",1308,7
"1309",1309,7
"1310",1310,7
"1311",1311,7
"1312",1312,7
"1313",1313,7
"1314",1314,7
"1315",1315,4
"1316",1316,4
"1317",1317,4
"1318",1318,4
"1319",1319,4
"1320",1320,4
"1321",1321,4
"1322",1322,4
"1323",1323,4
"1324",1324,4
"1325",1325,4
"1326",1326,4
"1327",1327,4
"1328",1328,1
"1329",1329,4
"1330",1330,1
"1331",1331,1
"1332",1332,1
"1333",1333,1
"1334",1334,1
"1335",1335,1
"1336",1336,1
"1337",1337,1
"1338",1338,1
"1339",1339,1
"1340",1340,1
"1341",1341,1
"1342",1342,1
"1343",1343,1
"1344",1344,1
"1345",1345,4
"1346",1346,4
"1347",1347,4
"1348",1348,4
"1349",1349,4
"1350",1350,4
"1351",1351,4
"1352",1352,4
"1353",1353,4
"1354",1354,4
"1355",1355,4
"1356",1356,4
"1357",1357,4
"1358",1358,4
"1359",1359,4
"1360",1360,2
"1361",1361,2
"1362",1362,2
"1363",1363,2
"1364",1364,2
"1365",1365,2
"1366",1366,2
"1367",1367,2
"1368",1368,2
"1369",1369,2
"1370",1370,2
"1371",1371,2
"1372",1372,2
"1373",1373,2
"1374",1374,2
"1375",1375,2
"1376",1376,2
"1377",1377,2
"1378",1378,2
"1379",1379,2
"1380",1380,2
"1381",1381,2
"1382",1382,2
"1383",1383,2
"1384",1384,2
"1385",1385,2
"1386",1386,2
"1387",1387,2
"1388",1388,2
"1389",1389,2
"1390",1390,2
"1391",1391,2
"1392",1392,2
"1393",1393,2
"1394",1394,2
"1395",1395,2
"1396",1396,2
"1397",1397,2
"1398",1398,2
"1399",1399,2
"1400",1400,2
"1401",1401,2
"1402",1402,2
"1403",1403,2
"1404",1404,2
"1405",1405,4
"1406",1406,4
"1407",1407,4
"1408",1408,4
"1409",1409,4
"1410",1410,4
"1411",1411,4
"1412",1412,4
"1413",1413,4
"1414",1414,4
"1415",1415,4
"1416",1416,4
"1417",1417,4
"1418",1418,4
"1419",1419,4
"1420",1420,5
"1421",1421,5
"1422",1422,5
"1423",1423,9
"1424",1424,5
"1425",1425,1
"1426",1426,5
"1427",1427,9
"1428",1428,5
"1429",1429,5
"1430",1430,9
"1431",1431,5
"1432",1432,1
"1433",1433,5
"1434",1434,9
"1435",1435,4
"1436",1436,4
"1437",1437,4
"1438",1438,4
"1439",1439,4
"1440",1440,7
"1441",1441,4
"1442",1442,4
"1443",1443,4
"1444",1444,4
"1445",1445,4
"1446",1446,4
"1447",1447,7
"1448",1448,4
"1449",1449,4
"1450",1450,2
"1451",1451,2
"1452",1452,2
"1453",1453,2
"1454",1454,2
"1455",1455,2
"1456",1456,2
"1457",1457,2
"1458",1458,2
"1459",1459,2
"1460",1460,2
"1461",1461,2
"1462",1462,2
"1463",1463,2
"1464",1464,2
"1465",1465,2
"1466",1466,2
"1467",1467,2
"1468",1468,2
"1469",1469,2
"1470",1470,2
"1471",1471,2
"1472",1472,2
"1473",1473,2
"1474",1474,2
"1475",1475,2
"1476",1476,2
"1477",1477,2
"1478",1478,2
"1479",1479,5
"1480",1480,5
"1481",1481,5
"1482",1482,5
"1483",1483,5
"1484",1484,5
"1485",1485,5
"1486",1486,5
"1487",1487,5
"1488",1488,5
"1489",1489,5
"1490",1490,5
"1491",1491,5
"1492",1492,5
"1493",1493,5
"1494",1494,8
"1495",1495,8
"1496",1496,8
"1497",1497,8
"1498",1498,8
"1499",1499,8
"1500",1500,8
"1501",1501,8
"1502",1502,8
"1503",1503,8
"1504",1504,8
"1505",1505,8
"1506",1506,8
"1507",1507,8
"1508",1508,8
"1509",1509,6
"1510",1510,6
"1511",1511,6
"1512",1512,6
"1513",1513,6
"1514",1514,1
"1515",1515,6
"1516",1516,6
"1517",1517,6
"1518",1518,6
"1519",1519,6
"1520",1520,6
"1521",1521,1
"1522",1522,6
"1523",1523,6
"1524",1524,4
"1525",1525,4
"1526",1526,4
"1527",1527,4
"1528",1528,4
"1529",1529,4
"1530",1530,4
"1531",1531,4
"1532",1532,4
"1533",1533,4
"1534",1534,4
"1535",1535,4
"1536",1536,4
"1537",1537,4
"1538",1538,4
"1539",1539,3
"1540",1540,3
"1541",1541,3
"1542",1542,3
"1543",1543,3
"1544",1544,3
"1545",1545,3
"1546",1546,3
"1547",1547,3
"1548",1548,3
"1549",1549,3
"1550",1550,3
"1551",1551,3
"1552",1552,3
"1553",1553,3
"1554",1554,6
"1555",1555,6
"1556",1556,6
"1557",1557,6
"1558",1558,6
"1559",1559,6
"1560",1560,6
"1561",1561,6
"1562",1562,6
"1563",1563,6
"1564",1564,6
"1565",1565,6
"1566",1566,6
"1567",1567,6
"1568",1568,3
"1569",1569,3
"1570",1570,3
"1571",1571,3
"1572",1572,3
"1573",1573,3
"1574",1574,3
"1575",1575,3
"1576",1576,3
"1577",1577,3
"1578",1578,3
"1579",1579,3
"1580",1580,3
"1581",1581,3
"1582",1582,3
"1583",1583,4
"1584",1584,4
"1585",1585,4
"1586",1586,4
"1587",1587,4
"1588",1588,4
"1589",1589,4
"1590",1590,4
"1591",1591,4
"1592",1592,4
"1593",1593,4
"1594",1594,4
"1595",1595,4
"1596",1596,4
"1597",1597,4
"1598",1598,1
"1599",1599,1
"1600",1600,1
"1601",1601,1
"1602",1602,1
"1603",1603,6
"1604",1604,1
"1605",1605,1
"1606",1606,1
"1607",1607,1
"1608",1608,1
"1609",1609,1
"1610",1610,6
"1611",1611,1
"1612",1612,1
"1613",1613,3
"1614",1614,3
"1615",1615,3
"1616",1616,3
"1617",1617,3
"1618",1618,3
"1619",1619,3
"1620",1620,3
"1621",1621,3
"1622",1622,3
"1623",1623,3
"1624",1624,3
"1625",1625,3
"1626",1626,3
"1627",1627,3
"1628",1628,1
"1629",1629,1
"1630",1630,1
"1631",1631,1
"1632",1632,1
"1633",1633,1
"1634",1634,1
"1635",1635,1
"1636",1636,1
"1637",1637,1
"1638",1638,1
"1639",1639,1
"1640",1640,1
"1641",1641,1
"1642",1642,1
"1643",1643,1
"1644",1644,2
"1645",1645,2
"1646",1646,2
"1647",1647,2
"1648",1648,2
"1649",1649,2
"1650",1650,2
"1651",1651,2
"1652",1652,2
"1653",1653,2
"1654",1654,2
"1655",1655,2
"1656",1656,2
"1657",1657,2
"1658",1658,7
"1659",1659,7
"1660",1660,7
"1661",1661,7
"1662",1662,7
"1663",1663,7
"1664",1664,7
"1665",1665,7
"1666",1666,7
"1667",1667,7
"1668",1668,7
"1669",1669,7
"1670",1670,7
"1671",1671,7
"1672",1672,7
"1673",1673,7
"1674",1674,7
"1675",1675,6
"1676",1676,7
"1677",1677,6
"1678",1678,7
"1679",1679,7
"1680",1680,6
"1681",1681,6
"1682",1682,7
"1683",1683,6
"1684",1684,7
"1685",1685,6
"1686",1686,7
"1687",1687,7
"1688",1688,6
"1689",1689,6
"1690",1690,8
"1691",1691,8
"1692",1692,8
"1693",1693,8
"1694",1694,8
"1695",1695,8
"1696",1696,8
"1697",1697,8
"1698",1698,8
"1699",1699,8
"1700",1700,8
"1701",1701,8
"1702",1702,8
"1703",1703,8
"1704",1704,8
"1705",1705,2
"1706",1706,2
"1707",1707,2
"1708",1708,2
"1709",1709,2
"1710",1710,2
"1711",1711,2
"1712",1712,2
"1713",1713,2
"1714",1714,2
"1715",1715,2
"1716",1716,2
"1717",1717,2
"1718",1718,6
"1719",1719,3
"1720",1720,2
"1721",1721,4
"1722",1722,4
"1723",1723,4
"1724",1724,4
"1725",1725,4
"1726",1726,4
"1727",1727,4
"1728",1728,4
"1729",1729,4
"1730",1730,4
"1731",1731,4
"1732",1732,4
"1733",1733,4
"1734",1734,4
"1735",1735,4
"1736",1736,6
"1737",1737,6
"1738",1738,6
"1739",1739,6
"1740",1740,6
"1741",1741,6
"1742",1742,6
"1743",1743,6
"1744",1744,6
"1745",1745,6
"1746",1746,6
"1747",1747,6
"1748",1748,6
"1749",1749,6
"1750",1750,6
"1751",1751,7
"1752",1752,7
"1753",1753,7
"1754",1754,7
"1755",1755,7
"1756",1756,7
"1757",1757,7
"1758",1758,7
"1759",1759,7
"1760",1760,7
"1761",1761,7
"1762",1762,7
"1763",1763,7
"1764",1764,7
"1765",1765,7
"1766",1766,2
"1767",1767,2
"1768",1768,2
"1769",1769,2
"1770",1770,2
"1771",1771,2
"1772",1772,2
"1773",1773,2
