"","Observation Number","Cluster_Membership"
"526",526,6
"527",527,6
"528",528,6
"529",529,6
"530",530,6
"531",531,6
"532",532,5
"533",533,5
"534",534,5
"535",535,5
"536",536,5
"537",537,5
"538",538,5
"539",539,5
"540",540,3
"541",541,6
"542",542,5
"543",543,5
"544",544,5
"545",545,5
"546",546,5
"547",547,5
"548",548,1
"549",549,1
"550",550,1
"551",551,1
"552",552,1
"553",553,1
"554",554,1
"555",555,1
"556",556,1
"557",557,1
"558",558,6
"559",559,1
"560",560,1
"561",561,1
"562",562,1
"563",563,1
"564",564,1
"565",565,1
"566",566,4
"567",567,4
"568",568,4
"569",569,4
"570",570,4
"571",571,4
"572",572,4
"573",573,4
"574",574,4
"575",575,1
"576",576,4
"577",577,4
"578",578,4
"579",579,4
"580",580,4
"581",581,4
"582",582,4
"583",583,4
"584",584,2
"585",585,2
"586",586,2
"587",587,2
"588",588,2
"589",589,2
"590",590,2
"591",591,2
"592",592,2
"593",593,2
"594",594,2
"595",595,2
"596",596,2
"597",597,2
"598",598,2
"599",599,2
"600",600,2
"601",601,2
"602",602,5
"603",603,5
"604",604,5
"605",605,5
"606",606,5
"607",607,5
"608",608,5
"609",609,5
"610",610,5
"611",611,5
"612",612,5
"613",613,5
"614",614,6
"615",615,5
"616",616,5
"617",617,5
"618",618,6
"619",619,6
"620",620,6
"621",621,6
"622",622,6
"623",623,6
"624",624,6
"625",625,6
"626",626,6
"627",627,6
"628",628,6
"629",629,6
"630",630,6
"631",631,6
"632",632,6
"633",633,6
"634",634,4
"635",635,4
"636",636,4
"637",637,4
"638",638,4
"639",639,4
"640",640,4
"641",641,4
"642",642,4
"643",643,4
"644",644,4
"645",645,4
"646",646,4
"647",647,4
"648",648,4
"649",649,4
"650",650,6
"651",651,6
"652",652,6
"653",653,6
"654",654,6
"655",655,6
"656",656,6
"657",657,6
"658",658,6
"659",659,6
"660",660,6
"661",661,6
"662",662,6
"663",663,6
"664",664,6
"665",665,6
"666",666,1
"667",667,6
"668",668,6
"669",669,6
"670",670,6
"671",671,6
"672",672,6
"673",673,6
"674",674,6
"675",675,6
"676",676,6
"677",677,6
"678",678,6
"679",679,6
"680",680,6
"681",681,6
"682",682,6
"683",683,6
"684",684,6
"685",685,6
"686",686,6
"687",687,6
"688",688,6
"689",689,6
"690",690,6
"691",691,6
"692",692,6
"693",693,6
"694",694,6
"695",695,6
"696",696,6
"697",697,6
"698",698,6
"699",699,6
"700",700,6
"701",701,6
"702",702,6
"703",703,6
"704",704,6
"705",705,6
"706",706,6
"707",707,6
"708",708,6
"709",709,6
"710",710,6
"711",711,6
"712",712,6
"713",713,6
"714",714,6
"715",715,6
"716",716,6
"717",717,6
"718",718,6
"719",719,6
"720",720,6
"721",721,6
"722",722,6
"723",723,6
"724",724,6
"725",725,6
"726",726,6
"727",727,6
"728",728,6
"729",729,6
"730",730,6
"731",731,6
"732",732,6
"733",733,6
"734",734,6
"735",735,6
"736",736,6
"737",737,6
"738",738,6
"739",739,6
"740",740,6
"741",741,6
"742",742,6
"743",743,6
"744",744,6
"745",745,6
"746",746,6
"747",747,6
"748",748,6
"749",749,6
"750",750,6
"751",751,6
"752",752,6
"753",753,6
"754",754,6
"755",755,6
"756",756,6
"757",757,6
"758",758,6
"759",759,6
"760",760,6
"761",761,6
"762",762,6
"763",763,6
"764",764,1
"765",765,1
"766",766,1
"767",767,1
"768",768,1
"769",769,1
"770",770,1
"771",771,1
"772",772,1
"773",773,1
"774",774,1
"775",775,1
"776",776,1
"777",777,1
"778",778,1
"779",779,6
"780",780,1
"781",781,5
"782",782,6
"783",783,6
"784",784,6
"785",785,6
"786",786,6
"787",787,6
"788",788,6
"789",789,6
"790",790,6
"791",791,6
"792",792,6
"793",793,6
"794",794,6
"795",795,6
"796",796,6
"797",797,6
"798",798,6
"799",799,6
"800",800,6
"801",801,6
"802",802,6
"803",803,6
"804",804,6
"805",805,6
"806",806,6
"807",807,6
"808",808,6
"809",809,6
"810",810,6
"811",811,6
"812",812,6
"813",813,6
"814",814,6
"815",815,6
"816",816,6
"817",817,6
"818",818,6
"819",819,6
"820",820,6
"821",821,6
"822",822,6
"823",823,6
"824",824,6
"825",825,6
"826",826,6
"827",827,6
"828",828,6
"829",829,6
"830",830,2
"831",831,2
"832",832,2
"833",833,2
"834",834,2
"835",835,2
"836",836,2
"837",837,2
"838",838,2
"839",839,2
"840",840,2
"841",841,2
"842",842,2
"843",843,2
"844",844,2
"845",845,2
"846",846,1
"847",847,1
"848",848,1
"849",849,1
"850",850,1
"851",851,1
"852",852,1
"853",853,1
"854",854,1
"855",855,1
"856",856,1
"857",857,1
"858",858,1
"859",859,1
"860",860,1
"861",861,1
"862",862,5
"863",863,5
"864",864,5
"865",865,5
"866",866,5
"867",867,5
"868",868,5
"869",869,5
"870",870,5
"871",871,5
"872",872,6
"873",873,6
"874",874,6
"875",875,6
"876",876,6
"877",877,6
"878",878,6
"879",879,5
"880",880,5
"881",881,6
"882",882,5
"883",883,5
"884",884,5
"885",885,1
"886",886,1
"887",887,1
"888",888,1
"889",889,1
"890",890,1
"891",891,1
"892",892,1
"893",893,1
"894",894,1
"895",895,1
"896",896,1
"897",897,1
"898",898,1
"899",899,1
"900",900,1
"901",901,6
"902",902,6
"903",903,6
"904",904,6
"905",905,6
"906",906,6
"907",907,6
"908",908,6
"909",909,6
"910",910,6
"911",911,6
"912",912,6
"913",913,6
"914",914,6
"915",915,6
"916",916,6
"917",917,4
"918",918,4
"919",919,4
"920",920,4
"921",921,4
"922",922,4
"923",923,4
"924",924,4
"925",925,4
"926",926,4
"927",927,4
"928",928,4
"929",929,4
"930",930,4
"931",931,4
"932",932,4
"933",933,6
"934",934,6
"935",935,6
"936",936,6
"937",937,6
"938",938,6
"939",939,6
"940",940,6
"941",941,6
"942",942,6
"943",943,6
"944",944,6
"945",945,6
"946",946,6
"947",947,2
"948",948,6
"949",949,1
"950",950,1
"951",951,1
"952",952,1
"953",953,1
"954",954,1
"955",955,1
"956",956,1
"957",957,1
"958",958,1
"959",959,1
"960",960,1
"961",961,1
"962",962,1
"963",963,1
"964",964,1
"965",965,6
"966",966,6
"967",967,6
"968",968,6
"969",969,6
"970",970,6
"971",971,6
"972",972,6
"973",973,6
"974",974,6
"975",975,6
"976",976,6
"977",977,6
"978",978,6
"979",979,6
"980",980,6
"981",981,1
"982",982,1
"983",983,1
"984",984,1
"985",985,1
"986",986,1
"987",987,1
"988",988,1
"989",989,1
"990",990,1
"991",991,1
"992",992,1
"993",993,6
"994",994,1
"995",995,1
"996",996,1
"997",997,2
"998",998,2
"999",999,2
"1000",1000,2
"1001",1001,2
"1002",1002,2
"1003",1003,2
"1004",1004,2
"1005",1005,2
"1006",1006,2
"1007",1007,2
"1008",1008,2
"1009",1009,2
"1010",1010,2
"1011",1011,2
"1012",1012,2
"1013",1013,1
"1014",1014,1
"1015",1015,1
"1016",1016,1
"1017",1017,1
"1018",1018,1
"1019",1019,1
"1020",1020,1
"1021",1021,1
"1022",1022,1
"1023",1023,1
"1024",1024,1
"1025",1025,1
"1026",1026,1
"1027",1027,1
"1028",1028,1
"1029",1029,3
"1030",1030,3
"1031",1031,3
"1032",1032,3
"1033",1033,3
"1034",1034,3
"1035",1035,3
"1036",1036,3
"1037",1037,3
"1038",1038,3
"1039",1039,3
"1040",1040,3
"1041",1041,3
"1042",1042,3
"1043",1043,6
"1044",1044,3
"1045",1045,2
"1046",1046,2
"1047",1047,2
"1048",1048,2
"1049",1049,2
"1050",1050,2
"1051",1051,2
"1052",1052,2
"1053",1053,2
"1054",1054,2
"1055",1055,2
"1056",1056,2
"1057",1057,2
"1058",1058,2
"1059",1059,2
"1060",1060,1
"1061",1061,2
"1062",1062,3
"1063",1063,1
"1064",1064,1
"1065",1065,1
"1066",1066,1
"1067",1067,1
"1068",1068,1
"1069",1069,1
"1070",1070,5
"1071",1071,1
"1072",1072,1
"1073",1073,1
"1074",1074,1
"1075",1075,1
"1076",1076,1
"1077",1077,1
"1078",1078,5
"1079",1079,4
"1080",1080,4
"1081",1081,4
"1082",1082,4
"1083",1083,4
"1084",1084,4
"1085",1085,4
"1086",1086,4
"1087",1087,4
"1088",1088,4
"1089",1089,4
"1090",1090,4
"1091",1091,4
"1092",1092,4
"1093",1093,4
"1094",1094,4
"1095",1095,4
"1096",1096,4
"1097",1097,4
"1098",1098,4
"1099",1099,4
"1100",1100,4
"1101",1101,4
"1102",1102,4
"1103",1103,4
"1104",1104,4
"1105",1105,4
"1106",1106,4
"1107",1107,4
"1108",1108,4
"1109",1109,4
"1110",1110,4
"1111",1111,4
"1112",1112,4
"1113",1113,4
"1114",1114,4
"1115",1115,4
"1116",1116,4
"1117",1117,4
"1118",1118,6
"1119",1119,4
"1120",1120,4
"1121",1121,4
"1122",1122,4
"1123",1123,4
"1124",1124,4
"1125",1125,4
"1126",1126,6
"1127",1127,6
"1128",1128,6
"1129",1129,6
"1130",1130,6
"1131",1131,6
"1132",1132,6
"1133",1133,6
"1134",1134,6
"1135",1135,6
"1136",1136,6
"1137",1137,6
"1138",1138,6
"1139",1139,6
"1140",1140,6
"1141",1141,6
"1142",1142,6
"1143",1143,5
"1144",1144,5
"1145",1145,5
"1146",1146,5
"1147",1147,5
"1148",1148,5
"1149",1149,5
"1150",1150,5
"1151",1151,5
"1152",1152,5
"1153",1153,5
"1154",1154,5
"1155",1155,5
"1156",1156,5
"1157",1157,5
"1158",1158,5
"1159",1159,4
"1160",1160,4
"1161",1161,4
"1162",1162,4
"1163",1163,4
"1164",1164,4
"1165",1165,4
"1166",1166,4
"1167",1167,4
"1168",1168,4
"1169",1169,4
"1170",1170,4
"1171",1171,4
"1172",1172,4
"1173",1173,4
"1174",1174,4
"1175",1175,2
"1176",1176,2
"1177",1177,2
"1178",1178,2
"1179",1179,2
"1180",1180,2
"1181",1181,2
"1182",1182,2
"1183",1183,2
"1184",1184,2
"1185",1185,2
"1186",1186,2
"1187",1187,2
"1188",1188,2
"1189",1189,2
"1190",1190,2
"1191",1191,3
"1192",1192,3
"1193",1193,3
"1194",1194,3
"1195",1195,3
"1196",1196,3
"1197",1197,4
"1198",1198,4
"1199",1199,3
"1200",1200,6
"1201",1201,3
"1202",1202,3
"1203",1203,3
"1204",1204,3
"1205",1205,3
"1206",1206,3
"1207",1207,4
"1208",1208,4
"1209",1209,3
"1210",1210,6
"1211",1211,3
"1212",1212,4
"1213",1213,4
"1214",1214,4
"1215",1215,4
"1216",1216,4
"1217",1217,4
"1218",1218,4
"1219",1219,4
"1220",1220,4
"1221",1221,4
"1222",1222,4
"1223",1223,4
"1224",1224,4
"1225",1225,2
"1226",1226,2
"1227",1227,2
"1228",1228,2
"1229",1229,2
"1230",1230,2
"1231",1231,2
"1232",1232,2
"1233",1233,2
"1234",1234,2
"1235",1235,2
"1236",1236,2
"1237",1237,2
"1238",1238,2
"1239",1239,2
"1240",1240,6
"1241",1241,6
"1242",1242,6
"1243",1243,6
"1244",1244,6
"1245",1245,6
"1246",1246,6
"1247",1247,6
"1248",1248,6
"1249",1249,6
"1250",1250,6
"1251",1251,6
"1252",1252,6
"1253",1253,6
"1254",1254,6
"1255",1255,6
"1256",1256,6
"1257",1257,6
"1258",1258,6
"1259",1259,6
"1260",1260,6
"1261",1261,6
"1262",1262,6
"1263",1263,6
"1264",1264,6
"1265",1265,1
"1266",1266,6
"1267",1267,6
"1268",1268,6
"1269",1269,6
"1270",1270,1
"1271",1271,1
"1272",1272,1
"1273",1273,1
"1274",1274,1
"1275",1275,1
"1276",1276,1
"1277",1277,1
"1278",1278,1
"1279",1279,1
"1280",1280,1
"1281",1281,1
"1282",1282,1
"1283",1283,1
"1284",1284,1
"1285",1285,6
"1286",1286,6
"1287",1287,6
"1288",1288,6
"1289",1289,6
"1290",1290,6
"1291",1291,6
"1292",1292,6
"1293",1293,6
"1294",1294,6
"1295",1295,6
"1296",1296,6
"1297",1297,6
"1298",1298,6
"1299",1299,6
"1300",1300,6
"1301",1301,6
"1302",1302,6
"1303",1303,6
"1304",1304,6
"1305",1305,6
"1306",1306,6
"1307",1307,6
"1308",1308,6
"1309",1309,6
"1310",1310,6
"1311",1311,6
"1312",1312,6
"1313",1313,6
"1314",1314,6
"1315",1315,4
"1316",1316,4
"1317",1317,4
"1318",1318,4
"1319",1319,4
"1320",1320,4
"1321",1321,4
"1322",1322,4
"1323",1323,4
"1324",1324,4
"1325",1325,4
"1326",1326,4
"1327",1327,4
"1328",1328,6
"1329",1329,4
"1330",1330,6
"1331",1331,6
"1332",1332,6
"1333",1333,6
"1334",1334,6
"1335",1335,6
"1336",1336,6
"1337",1337,6
"1338",1338,6
"1339",1339,6
"1340",1340,6
"1341",1341,6
"1342",1342,6
"1343",1343,6
"1344",1344,6
"1345",1345,1
"1346",1346,1
"1347",1347,1
"1348",1348,1
"1349",1349,1
"1350",1350,1
"1351",1351,1
"1352",1352,1
"1353",1353,1
"1354",1354,1
"1355",1355,1
"1356",1356,1
"1357",1357,1
"1358",1358,1
"1359",1359,1
"1360",1360,1
"1361",1361,1
"1362",1362,1
"1363",1363,1
"1364",1364,1
"1365",1365,1
"1366",1366,1
"1367",1367,1
"1368",1368,1
"1369",1369,1
"1370",1370,1
"1371",1371,1
"1372",1372,1
"1373",1373,1
"1374",1374,1
"1375",1375,3
"1376",1376,3
"1377",1377,3
"1378",1378,3
"1379",1379,3
"1380",1380,3
"1381",1381,3
"1382",1382,3
"1383",1383,3
"1384",1384,3
"1385",1385,3
"1386",1386,3
"1387",1387,3
"1388",1388,3
"1389",1389,3
"1390",1390,3
"1391",1391,3
"1392",1392,3
"1393",1393,3
"1394",1394,3
"1395",1395,3
"1396",1396,3
"1397",1397,3
"1398",1398,3
"1399",1399,3
"1400",1400,3
"1401",1401,3
"1402",1402,3
"1403",1403,3
"1404",1404,3
"1405",1405,1
"1406",1406,1
"1407",1407,1
"1408",1408,1
"1409",1409,1
"1410",1410,1
"1411",1411,1
"1412",1412,1
"1413",1413,1
"1414",1414,1
"1415",1415,1
"1416",1416,1
"1417",1417,1
"1418",1418,1
"1419",1419,1
"1420",1420,1
"1421",1421,1
"1422",1422,1
"1423",1423,1
"1424",1424,1
"1425",1425,1
"1426",1426,1
"1427",1427,1
"1428",1428,1
"1429",1429,1
"1430",1430,1
"1431",1431,1
"1432",1432,1
"1433",1433,1
"1434",1434,1
"1435",1435,6
"1436",1436,6
"1437",1437,6
"1438",1438,6
"1439",1439,6
"1440",1440,6
"1441",1441,6
"1442",1442,6
"1443",1443,6
"1444",1444,6
"1445",1445,6
"1446",1446,6
"1447",1447,6
"1448",1448,6
"1449",1449,6
"1450",1450,2
"1451",1451,2
"1452",1452,2
"1453",1453,2
"1454",1454,2
"1455",1455,2
"1456",1456,2
"1457",1457,2
"1458",1458,2
"1459",1459,2
"1460",1460,2
"1461",1461,2
"1462",1462,2
"1463",1463,2
"1464",1464,2
"1465",1465,1
"1466",1466,1
"1467",1467,1
"1468",1468,1
"1469",1469,1
"1470",1470,1
"1471",1471,1
"1472",1472,1
"1473",1473,1
"1474",1474,1
"1475",1475,1
"1476",1476,2
"1477",1477,1
"1478",1478,1
"1479",1479,1
"1480",1480,1
"1481",1481,1
"1482",1482,1
"1483",1483,1
"1484",1484,1
"1485",1485,1
"1486",1486,1
"1487",1487,1
"1488",1488,1
"1489",1489,1
"1490",1490,1
"1491",1491,1
"1492",1492,1
"1493",1493,1
"1494",1494,4
"1495",1495,4
"1496",1496,4
"1497",1497,4
"1498",1498,4
"1499",1499,4
"1500",1500,4
"1501",1501,4
"1502",1502,4
"1503",1503,4
"1504",1504,4
"1505",1505,4
"1506",1506,4
"1507",1507,4
"1508",1508,4
"1509",1509,6
"1510",1510,6
"1511",1511,6
"1512",1512,6
"1513",1513,6
"1514",1514,6
"1515",1515,6
"1516",1516,6
"1517",1517,6
"1518",1518,6
"1519",1519,6
"1520",1520,6
"1521",1521,6
"1522",1522,6
"1523",1523,6
"1524",1524,6
"1525",1525,6
"1526",1526,6
"1527",1527,6
"1528",1528,6
"1529",1529,6
"1530",1530,6
"1531",1531,6
"1532",1532,6
"1533",1533,6
"1534",1534,6
"1535",1535,6
"1536",1536,6
"1537",1537,6
"1538",1538,6
"1539",1539,1
"1540",1540,1
"1541",1541,1
"1542",1542,1
"1543",1543,1
"1544",1544,1
"1545",1545,1
"1546",1546,1
"1547",1547,1
"1548",1548,1
"1549",1549,1
"1550",1550,1
"1551",1551,1
"1552",1552,1
"1553",1553,1
"1554",1554,2
"1555",1555,2
"1556",1556,2
"1557",1557,2
"1558",1558,2
"1559",1559,2
"1560",1560,2
"1561",1561,2
"1562",1562,2
"1563",1563,2
"1564",1564,2
"1565",1565,2
"1566",1566,2
"1567",1567,2
"1568",1568,3
"1569",1569,3
"1570",1570,3
"1571",1571,3
"1572",1572,3
"1573",1573,3
"1574",1574,3
"1575",1575,3
"1576",1576,3
"1577",1577,3
"1578",1578,3
"1579",1579,3
"1580",1580,3
"1581",1581,3
"1582",1582,3
"1583",1583,1
"1584",1584,1
"1585",1585,1
"1586",1586,1
"1587",1587,1
"1588",1588,1
"1589",1589,1
"1590",1590,1
"1591",1591,1
"1592",1592,1
"1593",1593,1
"1594",1594,1
"1595",1595,1
"1596",1596,1
"1597",1597,1
"1598",1598,1
"1599",1599,1
"1600",1600,1
"1601",1601,1
"1602",1602,1
"1603",1603,1
"1604",1604,1
"1605",1605,1
"1606",1606,1
"1607",1607,1
"1608",1608,1
"1609",1609,1
"1610",1610,1
"1611",1611,1
"1612",1612,1
"1613",1613,2
"1614",1614,2
"1615",1615,2
"1616",1616,2
"1617",1617,2
"1618",1618,2
"1619",1619,2
"1620",1620,2
"1621",1621,2
"1622",1622,2
"1623",1623,2
"1624",1624,2
"1625",1625,2
"1626",1626,2
"1627",1627,2
"1628",1628,1
"1629",1629,1
"1630",1630,1
"1631",1631,1
"1632",1632,1
"1633",1633,1
"1634",1634,1
"1635",1635,1
"1636",1636,1
"1637",1637,1
"1638",1638,1
"1639",1639,1
"1640",1640,1
"1641",1641,1
"1642",1642,1
"1643",1643,1
"1644",1644,3
"1645",1645,3
"1646",1646,3
"1647",1647,3
"1648",1648,3
"1649",1649,3
"1650",1650,3
"1651",1651,3
"1652",1652,3
"1653",1653,3
"1654",1654,3
"1655",1655,3
"1656",1656,3
"1657",1657,3
"1658",1658,1
"1659",1659,1
"1660",1660,1
"1661",1661,1
"1662",1662,1
"1663",1663,1
"1664",1664,1
"1665",1665,1
"1666",1666,1
"1667",1667,1
"1668",1668,1
"1669",1669,1
"1670",1670,1
"1671",1671,1
"1672",1672,1
"1673",1673,1
"1674",1674,1
"1675",1675,1
"1676",1676,1
"1677",1677,1
"1678",1678,1
"1679",1679,1
"1680",1680,1
"1681",1681,1
"1682",1682,1
"1683",1683,1
"1684",1684,1
"1685",1685,1
"1686",1686,1
"1687",1687,1
"1688",1688,1
"1689",1689,1
"1690",1690,3
"1691",1691,3
"1692",1692,3
"1693",1693,3
"1694",1694,3
"1695",1695,3
"1696",1696,3
"1697",1697,3
"1698",1698,3
"1699",1699,3
"1700",1700,3
"1701",1701,3
"1702",1702,3
"1703",1703,3
"1704",1704,3
"1705",1705,6
"1706",1706,6
"1707",1707,6
"1708",1708,6
"1709",1709,6
"1710",1710,6
"1711",1711,6
"1712",1712,6
"1713",1713,6
"1714",1714,6
"1715",1715,6
"1716",1716,6
"1717",1717,6
"1718",1718,6
"1719",1719,5
"1720",1720,6
"1721",1721,6
"1722",1722,6
"1723",1723,6
"1724",1724,6
"1725",1725,6
"1726",1726,6
"1727",1727,6
"1728",1728,6
"1729",1729,6
"1730",1730,6
"1731",1731,6
"1732",1732,6
"1733",1733,6
"1734",1734,6
"1735",1735,6
"1736",1736,6
"1737",1737,6
"1738",1738,6
"1739",1739,6
"1740",1740,6
"1741",1741,6
"1742",1742,6
"1743",1743,6
"1744",1744,6
"1745",1745,6
"1746",1746,6
"1747",1747,6
"1748",1748,6
"1749",1749,6
"1750",1750,6
"1751",1751,6
"1752",1752,6
"1753",1753,6
"1754",1754,6
"1755",1755,6
"1756",1756,6
"1757",1757,6
"1758",1758,6
"1759",1759,6
"1760",1760,6
"1761",1761,6
"1762",1762,6
"1763",1763,6
"1764",1764,6
"1765",1765,6
"1766",1766,1
"1767",1767,1
"1768",1768,1
"1769",1769,1
"1770",1770,1
"1771",1771,1
"1772",1772,1
"1773",1773,1
